MFCCs 30% Test 70% Train 
0.888 (+/-0.042) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 8, 'weights': 'distance'}
0.887 (+/-0.029) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 10, 'weights': 'uniform'}
0.889 (+/-0.043) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 10, 'weights': 'distance'}
0.888 (+/-0.043) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 1, 'weights': 'uniform'}
0.899 (+/-0.036) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 1, 'weights': 'distance'}
0.900 (+/-0.032) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 2, 'weights': 'uniform'}
0.904 (+/-0.036) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 2, 'weights': 'distance'}
0.893 (+/-0.036) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 3, 'weights': 'uniform'}
0.892 (+/-0.034) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 3, 'weights': 'distance'}
0.889 (+/-0.029) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 5, 'weights': 'uniform'}
0.892 (+/-0.018) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 5, 'weights': 'distance'}
0.890 (+/-0.023) para {'algorithm': 'kd_tree', 'n_neighbors': 30, 'p': 6, 'weights': 'uniform'}
