MFCCs 30% Test 70% Train 
0.214 (+/-0.010) para {'C': 100, 'gamma': 10000, 'kernel': 'rbf'}
0.917 (+/-0.033) para {'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}
0.914 (+/-0.032) para {'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}
0.920 (+/-0.020) para {'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}
0.908 (+/-0.027) para {'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}
0.916 (+/-0.023) para {'C': 1000, 'gamma': 1, 'kernel': 'rbf'}
0.329 (+/-0.026) para {'C': 1000, 'gamma': 10, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 1000, 'gamma': 100, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 1000, 'gamma': 1000, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 1000, 'gamma': 10000, 'kernel': 'rbf'}
0.914 (+/-0.029) para {'C': 10000, 'gamma': 0.0001, 'kernel': 'rbf'}
0.912 (+/-0.034) para {'C': 10000, 'gamma': 0.001, 'kernel': 'rbf'}
0.908 (+/-0.024) para {'C': 10000, 'gamma': 0.01, 'kernel': 'rbf'}
0.908 (+/-0.027) para {'C': 10000, 'gamma': 0.1, 'kernel': 'rbf'}
0.916 (+/-0.023) para {'C': 10000, 'gamma': 1, 'kernel': 'rbf'}
0.329 (+/-0.026) para {'C': 10000, 'gamma': 10, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 10000, 'gamma': 100, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 10000, 'gamma': 1000, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 10000, 'gamma': 10000, 'kernel': 'rbf'}
MFCCs 25% Test 75% Train linear 
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.698 (+/-0.022) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.858 (+/-0.029) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.912 (+/-0.028) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.913 (+/-0.029) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.913 (+/-0.034) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.905 (+/-0.036) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.903 (+/-0.017) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.900 (+/-0.022) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
LPCs 25% Test 75% Train linear 
0.234 (+/-0.018) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.292 (+/-0.045) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
